Episode;Duration;Value;Epsilon
1;0:00:39.231572;8022.664571107246;1.0
2;0:00:37.098531;9758.858064972897;0.9995
3;0:00:38.058689;10039.400767535955;0.9990000000000001
4;0:00:35.789389;6703.988521407071;0.9985000000000002
5;0:00:37.151632;7131.187416092004;0.9980000000000002
6;0:00:38.424564;8205.526169352663;0.9975000000000003
7;0:00:35.678431;7263.415020520282;0.9970000000000003
8;0:00:32.356234;4973.797635291607;0.9965000000000004
9;0:00:34.438145;6239.194991618579;0.9960000000000004
10;0:00:37.012467;6108.196445803649;0.9955000000000005
11;0:00:36.316193;5800.603816821656;0.9950000000000006
12;0:00:41.404702;8644.657852119031;0.9945000000000006
13;0:00:38.200606;5959.406909142724;0.9940000000000007
14;0:00:39.503000;6193.641875166835;0.9935000000000007
15;0:00:38.071567;6683.894212918494;0.9930000000000008
16;0:00:38.186871;6975.15971439295;0.9925000000000008
17;0:00:38.528291;6859.164967609785;0.9920000000000009
18;0:00:39.888972;6189.210598561588;0.9915000000000009
19;0:00:40.107553;8014.880005558575;0.991000000000001
20;0:00:41.093258;7325.859935317018;0.990500000000001
21;0:00:36.210475;5741.937406598117;0.9900000000000011
22;0:00:38.880451;6493.732610073165;0.9895000000000012
23;0:00:37.466788;6734.578870568459;0.9890000000000012
24;0:00:39.053227;6129.4261706730085;0.9885000000000013
25;0:00:37.424809;5830.561308250005;0.9880000000000013
26;0:00:35.934130;4796.009800760301;0.9875000000000014
27;0:00:39.927770;7170.674984961043;0.9870000000000014
28;0:00:40.452902;7100.3110377013145;0.9865000000000015
29;0:00:41.972549;6690.528905366176;0.9860000000000015
30;0:00:39.532719;6642.222220881026;0.9855000000000016
31;0:00:41.822780;7268.172983757884;0.9850000000000017
32;0:00:43.849065;6290.943686151168;0.9845000000000017
33;0:00:42.701923;5700.468253577796;0.9840000000000018
34;0:00:46.222897;6443.96260996236;0.9835000000000018
35;0:00:46.422191;8374.141044519556;0.9830000000000019
36;0:00:43.011841;6162.836133067236;0.9825000000000019
37;0:00:46.577529;7766.890990780309;0.982000000000002
38;0:00:44.134141;6173.069428505153;0.981500000000002
39;0:00:42.051370;7579.463814154601;0.9810000000000021
